,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0020100008,45,2225,Tony Parker,1610612759,San Antonio Spurs,1,6,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-103,219,1,1,20011030,SAS,LAC
1,Shot Chart Detail,0020100008,52,2225,Tony Parker,1610612759,San Antonio Spurs,1,5,53,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,9,1,0,20011030,SAS,LAC
2,Shot Chart Detail,0020100008,57,2225,Tony Parker,1610612759,San Antonio Spurs,1,5,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,106,219,1,0,20011030,SAS,LAC
3,Shot Chart Detail,0020100008,72,2225,Tony Parker,1610612759,San Antonio Spurs,1,3,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,9,1,1,20011030,SAS,LAC
4,Shot Chart Detail,0020100008,138,2225,Tony Parker,1610612759,San Antonio Spurs,2,10,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,9,1,0,20011030,SAS,LAC
5,Shot Chart Detail,0020100008,380,2225,Tony Parker,1610612759,San Antonio Spurs,4,11,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-82,224,1,1,20011030,SAS,LAC
6,Shot Chart Detail,0020100008,388,2225,Tony Parker,1610612759,San Antonio Spurs,4,10,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,15,1,0,20011030,SAS,LAC
7,Shot Chart Detail,0020100008,489,2225,Tony Parker,1610612759,San Antonio Spurs,4,0,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,9,1,0,20011030,SAS,LAC
8,Shot Chart Detail,0020100024,189,2225,Tony Parker,1610612759,San Antonio Spurs,2,6,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,23,1,0,20011101,SEA,SAS
9,Shot Chart Detail,0020100024,389,2225,Tony Parker,1610612759,San Antonio Spurs,4,9,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011101,SEA,SAS
