,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0020000005,5,1713,Vince Carter,1610612761,Toronto Raptors,1,11,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-176,42,1,0,20001031,TOR,DET
1,Shot Chart Detail,0020000005,10,1713,Vince Carter,1610612761,Toronto Raptors,1,10,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,195,158,1,0,20001031,TOR,DET
2,Shot Chart Detail,0020000005,106,1713,Vince Carter,1610612761,Toronto Raptors,1,2,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,201,152,1,1,20001031,TOR,DET
3,Shot Chart Detail,0020000005,153,1713,Vince Carter,1610612761,Toronto Raptors,2,11,33,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,94,26,1,0,20001031,TOR,DET
4,Shot Chart Detail,0020000005,159,1713,Vince Carter,1610612761,Toronto Raptors,2,10,58,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-235,63,1,0,20001031,TOR,DET
5,Shot Chart Detail,0020000005,167,1713,Vince Carter,1610612761,Toronto Raptors,2,10,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-71,42,1,0,20001031,TOR,DET
6,Shot Chart Detail,0020000005,169,1713,Vince Carter,1610612761,Toronto Raptors,2,10,16,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001031,TOR,DET
7,Shot Chart Detail,0020000005,180,1713,Vince Carter,1610612761,Toronto Raptors,2,9,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,123,76,1,1,20001031,TOR,DET
8,Shot Chart Detail,0020000005,219,1713,Vince Carter,1610612761,Toronto Raptors,2,6,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001031,TOR,DET
9,Shot Chart Detail,0020000005,228,1713,Vince Carter,1610612761,Toronto Raptors,2,5,33,Made Shot,Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,TOR,DET
10,Shot Chart Detail,0020000005,240,1713,Vince Carter,1610612761,Toronto Raptors,2,3,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,TOR,DET
11,Shot Chart Detail,0020000005,273,1713,Vince Carter,1610612761,Toronto Raptors,2,0,56,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,51,63,1,0,20001031,TOR,DET
12,Shot Chart Detail,0020000005,280,1713,Vince Carter,1610612761,Toronto Raptors,2,0,20,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,TOR,DET
13,Shot Chart Detail,0020000005,288,1713,Vince Carter,1610612761,Toronto Raptors,3,11,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,7,200,1,0,20001031,TOR,DET
14,Shot Chart Detail,0020000005,309,1713,Vince Carter,1610612761,Toronto Raptors,3,9,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,188,47,1,1,20001031,TOR,DET
15,Shot Chart Detail,0020000005,339,1713,Vince Carter,1610612761,Toronto Raptors,3,6,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,15,1,1,20001031,TOR,DET
16,Shot Chart Detail,0020000005,352,1713,Vince Carter,1610612761,Toronto Raptors,3,5,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-162,87,1,0,20001031,TOR,DET
17,Shot Chart Detail,0020000005,361,1713,Vince Carter,1610612761,Toronto Raptors,3,5,14,Missed Shot,Driving Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001031,TOR,DET
18,Shot Chart Detail,0020000005,401,1713,Vince Carter,1610612761,Toronto Raptors,3,2,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,153,70,1,1,20001031,TOR,DET
19,Shot Chart Detail,0020000005,487,1713,Vince Carter,1610612761,Toronto Raptors,4,6,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,16,245,1,0,20001031,TOR,DET
20,Shot Chart Detail,0020000005,490,1713,Vince Carter,1610612761,Toronto Raptors,4,5,56,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001031,TOR,DET
21,Shot Chart Detail,0020000005,494,1713,Vince Carter,1610612761,Toronto Raptors,4,5,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001031,TOR,DET
22,Shot Chart Detail,0020000005,524,1713,Vince Carter,1610612761,Toronto Raptors,4,3,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20001031,TOR,DET
23,Shot Chart Detail,0020000005,534,1713,Vince Carter,1610612761,Toronto Raptors,4,3,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-128,163,1,1,20001031,TOR,DET
24,Shot Chart Detail,0020000015,9,1713,Vince Carter,1610612761,Toronto Raptors,1,10,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,11,150,1,1,20001101,PHI,TOR
